"Ensembl","MGI Symbol","DEG_sex","baseMean","Male_L2FC","Male_padj","Female_L2FC","Female_padj"
"ENSMUSG00000000078","Klf6","Male Only",2948.07826145544,0.159515321240054,0.0234292864920017,-0.00123946354894278,1
"ENSMUSG00000000125","Wnt3","Male Only",90.2796034958731,0.438703515454329,0.000233484032296319,0.163392757988031,0.891747481973656
"ENSMUSG00000000184","Ccnd2","Male Only",3807.0321709873,0.137440410805233,0.0964986459814258,0.00244455853236494,1
"ENSMUSG00000000317","Bcl6b","Male Only",386.243632063628,0.268022623159183,0.00602833415986305,0.20118553559725,0.295737731529018
"ENSMUSG00000000365","Rnf17","Male Only",40.6528530441806,0.329983670903751,0.000416441906025767,0.10146222109334,1
"ENSMUSG00000000392","Fap","Male Only",53.3611111181217,0.332527528293497,0.0115730909448194,0.0356244440425129,1
"ENSMUSG00000000402","Egfl6","Male Only",62.5650204533463,0.258010585393525,0.0687015722753577,0.0145141428488609,1
"ENSMUSG00000000411","Tssk3","Male Only",15.0925575556348,0.203758887878129,0.0949235981243662,0.159586393283182,0.593459962872276
"ENSMUSG00000000605","Clcn4","Male Only",7666.61124640123,-0.112191248460247,0.0884946954481845,-0.0424006189125435,1
"ENSMUSG00000000901","Mmp11","Both",147.525674994782,0.599524417026967,8.16868055578057e-09,0.309941004199928,0.0661992843646152
"ENSMUSG00000001211","Agpat3","Male Only",7909.90163024091,-0.16520752185896,0.0235033524421722,-0.0412793019587687,1
"ENSMUSG00000001260","Gabrg1","Male Only",726.490198992862,0.172776875555299,0.0532572453170168,0.11075745146611,0.848801406256887
"ENSMUSG00000001300","Efnb2","Male Only",4056.4916571048,0.276260958639634,0.000461757182073005,0.115300879555329,0.888804179063893
"ENSMUSG00000001313","Rnd2","Male Only",1241.80653800445,-0.270790975168101,0.000970980005920485,-0.0993750534993485,1
"ENSMUSG00000001507","Itga3","Male Only",779.139649785213,0.21988640401984,0.0107149450003084,0.132996307227834,0.686458562898944
"ENSMUSG00000001666","Ddt","Male Only",88.3906551155727,-0.269795569409491,0.0583554285966057,0.242879233261381,0.410811053457272
"ENSMUSG00000001672","Marveld3","Male Only",10.392974053939,0.18763413025862,0.065160166176304,-0.00991750864800505,1
