"Ensembl","Symbol","baseMean","DEG_sex","Male_L2FC","Male_padj","Female_L2FC","Female_padj"
"ENSMUSG00000000078","Klf6",2948.07826145544,"Male Up DEG",0.159515321240054,0.0234292864920017,-0.00123946354894278,1
"ENSMUSG00000000125","Wnt3",90.2796034958731,"Male Up DEG",0.438703515454329,0.000233484032296319,0.163392757988031,0.891747481973656
"ENSMUSG00000000184","Ccnd2",3807.0321709873,"Male Up DEG",0.137440410805233,0.0964986459814258,0.00244455853236494,1
"ENSMUSG00000000317","Bcl6b",386.243632063628,"Male Up DEG",0.268022623159183,0.00602833415986305,0.20118553559725,0.295737731529018
"ENSMUSG00000000365","Rnf17",40.6528530441806,"Male Up DEG",0.329983670903751,0.000416441906025767,0.10146222109334,1
"ENSMUSG00000000392","Fap",53.3611111181217,"Male Up DEG",0.332527528293497,0.0115730909448194,0.0356244440425129,1
"ENSMUSG00000000402","Egfl6",62.5650204533463,"Male Up DEG",0.258010585393525,0.0687015722753577,0.0145141428488609,1
"ENSMUSG00000000411","Tssk3",15.0925575556348,"Male Up DEG",0.203758887878129,0.0949235981243662,0.159586393283182,0.593459962872276
"ENSMUSG00000000901","Mmp11",147.525674994782,"Both",0.599524417026967,8.16868055578057e-09,0.309941004199928,0.0661992843646152
"ENSMUSG00000001260","Gabrg1",726.490198992862,"Male Up DEG",0.172776875555299,0.0532572453170168,0.11075745146611,0.848801406256887
"ENSMUSG00000001300","Efnb2",4056.4916571048,"Male Up DEG",0.276260958639634,0.000461757182073005,0.115300879555329,0.888804179063893
"ENSMUSG00000001507","Itga3",779.139649785213,"Male Up DEG",0.21988640401984,0.0107149450003084,0.132996307227834,0.686458562898944
"ENSMUSG00000001672","Marveld3",10.392974053939,"Male Up DEG",0.18763413025862,0.065160166176304,-0.00991750864800505,1
"ENSMUSG00000001786","Fbxo7",2394.38851296619,"Male Up DEG",0.14390534748344,0.025525763864094,0.0338100640666132,1
"ENSMUSG00000002771","Grin2d",3127.59582187283,"Both",0.280166465626492,4.22564328621912e-05,0.216066693271166,0.0186359433467081
"ENSMUSG00000002897","Il17ra",145.040553400389,"Male Up DEG",0.370771702015394,0.00180128456918528,-0.00844834488325234,1
"ENSMUSG00000003031","Cdkn1b",1768.8534328191,"Male Up DEG",0.229500663196446,0.00236713068808332,0.0681833383069809,1
"ENSMUSG00000003273","Car11",2481.40786723138,"Female Up DEG",0.102976341274075,0.227495318194237,0.169278028240698,0.0388643979197138
"ENSMUSG00000003559","As3mt",186.43878206947,"Male Up DEG",0.646473145484696,1.7206023549989e-11,0.202179769497328,0.582467387484967
"ENSMUSG00000003824","Syce2",431.569649328015,"Both",0.589332049149507,1.22857827574358e-13,0.317030923566594,0.00370214597745683
"ENSMUSG00000003974","Grm3",2167.49055322965,"Male Up DEG",0.162266891278564,0.0277653526526838,-0.018514485528541,1
"ENSMUSG00000004035","Gstm7",173.706119864663,"Male Up DEG",0.343333230642463,0.0033034572993147,0.0395177042539103,1
"ENSMUSG00000004098","Col5a3",88.3572429253006,"Male Up DEG",0.358053032851426,0.0025711896683602,0.177929331475685,0.851084036145188
"ENSMUSG00000004415","Col26a1",833.164389083231,"Male Up DEG",0.273336360385102,0.0050965069254946,0.22882305211928,0.137826072360622
"ENSMUSG00000004698","Hdac9",1676.3070521654,"Male Up DEG",0.147411096425327,0.0617818895001343,0.007742780716133,1
"ENSMUSG00000004891","Nes",1026.19364697323,"Male Up DEG",0.264257642629725,0.0354779217373673,0.034112377826466,1
"ENSMUSG00000004951","Hspb1",26.957255609128,"Male Up DEG",0.22577934147935,0.084661679753115,0.0396021413454932,1
"ENSMUSG00000005107","Slc2a9",54.6439687411346,"Male Up DEG",0.30707073296115,0.0182568687340873,0.21428015355573,0.593459962872276
"ENSMUSG00000005237","Dnah2",343.053823843953,"Male Up DEG",0.243727310243521,0.0934984630860921,0.153408020427959,0.964227476427563
"ENSMUSG00000005373","Mlxipl",40.183185828985,"Male Up DEG",0.394858757098523,0.00101801924689747,0.119340347653642,1
"ENSMUSG00000005533","Igf1r",2346.18043533048,"Male Up DEG",0.214609895634652,0.0663129893356848,0.0076741502479554,1
"ENSMUSG00000005553","Atp4a",112.314952859738,"Male Up DEG",0.362220409034794,0.00250866694667022,0.25477394540783,0.28433588088216
"ENSMUSG00000005686","Ampd3",576.330747733844,"Male Up DEG",0.206423452216586,0.0889719784203458,0.072452769722294,1
"ENSMUSG00000005886","Ncoa2",3368.59216687242,"Male Up DEG",0.121625470550159,0.0288570191754166,-0.0200807276966794,1
"ENSMUSG00000005892","Trh",151.147686439136,"Male Up DEG",0.364147036176848,0.00405099740908096,0.231784793888739,0.426554135422102
"ENSMUSG00000005973","Rcn1",1336.22782089623,"Female Up DEG",0.142921668655687,0.126709237047489,0.188628482233094,0.0826757752390065
"ENSMUSG00000006360","Crip1",37.5228261664019,"Male Up DEG",0.389296518203727,0.000756202390057576,0.2275817708894,0.410811053457272
"ENSMUSG00000006395","Hyi",245.082925976102,"Male Up DEG",0.355660730768517,0.00141541679652435,0.265137981928257,0.152199211612762
"ENSMUSG00000006586","Runx1t1",1836.71509556477,"Male Up DEG",0.287473280182442,0.000648156567601497,0.0213580519999609,1
"ENSMUSG00000006931","P3h4",323.159517343256,"Male Up DEG",0.277991693869287,0.0181757718063736,0.212462149612036,0.420571310754931
"ENSMUSG00000007888","Crlf1",525.623018201568,"Male Up DEG",0.293844489625087,0.02800250196407,0.219370458573806,0.530904837125686
"ENSMUSG00000007908","Hmgcll1",655.495106704334,"Male Up DEG",0.270657127757661,0.00228407070549404,0.0993249572225046,1
"ENSMUSG00000009628","Tex15",202.779876833918,"Male Up DEG",0.346782190533199,0.00402614554276471,0.210068650998217,0.603767713026477
"ENSMUSG00000009633","G0s2",52.8530635843907,"Male Up DEG",0.38059327516442,0.00212844190162216,0.202201379251116,0.515200109531896
"ENSMUSG00000010342","Tex14",77.6025200959776,"Both",1.62465451591702,4.28881214005711e-50,0.458223684275949,3.84880194017896e-06
"ENSMUSG00000010825","Grid2ip",105.47652520644,"Both",0.294639060856739,0.0271496104028891,0.32001348977217,0.0669215426648583
"ENSMUSG00000012017","Scarf2",465.434037994747,"Both",1.86613599350557,4.78085774853686e-107,1.06285199787735,3.68848275095672e-36
"ENSMUSG00000013766","Ly6g6e",35.3737775694992,"Male Up DEG",0.494067108047711,8.11009433269507e-06,0.173539180074203,0.665836662301575
"ENSMUSG00000014444","Piezo1",959.721363063453,"Both",0.464298466149585,3.3588392351828e-11,0.253215960309868,0.0115081111572045
